FagNivaa	Fagkategorikode	Fagomraadekode	Opplaeringsfagkode	Vurderingsfagkode	Fagkategorinavn	Fagomraadenavn	Opplaeringsfagnavn	Vurderingsfagnavn	2022-23.Alle eierformer.Alle trinn.Alle kjønn.Antall elever	2023-24.Alle eierformer.Alle trinn.Alle kjønn.Antall elever	2024-25.Alle eierformer.Alle trinn.Alle kjønn.Antall elever
1	FKAT100			FKAT100	Estetiske fag	Alle fagområder	Alle opplæringsfag	Alle vurderingsfag	9833	9987	9932
2	FKAT100	FOMR101		FOMR101	Estetiske fag	Andre fag - musikk, dans og drama	Alle opplæringsfag	Alle vurderingsfag	2046	2042	2072
3	FKAT100	FOMR101	MDD2Z02	MDD2Z02	Estetiske fag	Andre fag - musikk, dans og drama	Bevegelse	Alle vurderingsfag	766	746	795
4	FKAT100	FOMR101	MDD2Z02	MDD3006	Estetiske fag	Andre fag - musikk, dans og drama	Bevegelse	Bevegelse	766	746	795
3	FKAT100	FOMR101	MDD1Z02	MDD1Z02	Estetiske fag	Andre fag - musikk, dans og drama	Musikk, dans og drama	Alle vurderingsfag	2008	2011	2020
4	FKAT100	FOMR101	MDD1Z02	MDD2002	Estetiske fag	Andre fag - musikk, dans og drama	Musikk, dans og drama	Musikk, dans og drama	2008	2011	2020
2	FKAT100	FOMR102		FOMR102	Estetiske fag	Dansefag	Alle opplæringsfag	Alle vurderingsfag	984	967	1005
3	FKAT100	FOMR102	DAN3Z03	DAN3Z03	Estetiske fag	Dansefag	Dans i perspektiv 1	Alle vurderingsfag	314	306	313
4	FKAT100	FOMR102	DAN3Z03	DAN2015	Estetiske fag	Dansefag	Dans i perspektiv 1	Dans i perspektiv 1	314	306	313
3	FKAT100	FOMR102	DAN3Z04	DAN3Z04	Estetiske fag	Dansefag	Dans i perspektiv 2	Alle vurderingsfag	311	296	300
4	FKAT100	FOMR102	DAN3Z04	DAN2017	Estetiske fag	Dansefag	Dans i perspektiv 2	Dans i perspektiv 2	311	296	300
3	FKAT100	FOMR102	MDD4Z02	MDD4Z02	Estetiske fag	Dansefag	Danseteknikker	Alle vurderingsfag	356	359	382
4	FKAT100	FOMR102	MDD4Z02	MDD3008	Estetiske fag	Dansefag	Danseteknikker	Danseteknikker	356	359	382
3	FKAT100	FOMR102	DAN1Z03	DAN1Z03	Estetiske fag	Dansefag	Grunntrening i dans 1	Alle vurderingsfag	313	305	313
4	FKAT100	FOMR102	DAN1Z03	DAN2010	Estetiske fag	Dansefag	Grunntrening i dans 1	Grunntrening i dans 1	313	305	313
3	FKAT100	FOMR102	DAN1Z04	DAN1Z04	Estetiske fag	Dansefag	Grunntrening i dans 2	Alle vurderingsfag	311	295	301
4	FKAT100	FOMR102	DAN1Z04	DAN2011	Estetiske fag	Dansefag	Grunntrening i dans 2	Grunntrening i dans 2	311	295	301
3	FKAT100	FOMR102	DAN2Z04	DAN2Z04	Estetiske fag	Dansefag	Scenisk dans 1	Alle vurderingsfag	313	305	313
4	FKAT100	FOMR102	DAN2Z04	DAN2012	Estetiske fag	Dansefag	Scenisk dans 1	Scenisk dans 1	313	305	313
3	FKAT100	FOMR102	DAN2Z05	DAN2Z05	Estetiske fag	Dansefag	Scenisk dans 2	Alle vurderingsfag	311	296	300
4	FKAT100	FOMR102	DAN2Z05	DAN2013	Estetiske fag	Dansefag	Scenisk dans 2	Scenisk dans 2	311	296	300
3	FKAT100	FOMR102	DAN2Z06	DAN2Z06	Estetiske fag	Dansefag	Scenisk dans 3	Alle vurderingsfag	311	296	300
4	FKAT100	FOMR102	DAN2Z06	DAN2014	Estetiske fag	Dansefag	Scenisk dans 3	Scenisk dans 3	311	296	300
3	FKAT100	FOMR102	DAN4Z03	DAN4Z03	Estetiske fag	Dansefag	Scenisk dans fordypning 1	Alle vurderingsfag	308	308	312
4	FKAT100	FOMR102	DAN4Z03	DAN3003	Estetiske fag	Dansefag	Scenisk dans fordypning 1	Scenisk dans fordypning 1	308	308	312
3	FKAT100	FOMR102	DAN4Z04	DAN4Z04	Estetiske fag	Dansefag	Scenisk dans fordypning 2	Alle vurderingsfag	271	262	279
4	FKAT100	FOMR102	DAN4Z04	DAN3004	Estetiske fag	Dansefag	Scenisk dans fordypning 2	Scenisk dans fordypning 2	271	262	279
2	FKAT100	FOMR103		FOMR103	Estetiske fag	Dramafag	Alle opplæringsfag	Alle vurderingsfag	1416	1485	1534
3	FKAT100	FOMR103	DRA4Z02	DRA4Z02	Estetiske fag	Dramafag	Drama og samfunn	Alle vurderingsfag	406	382	358
4	FKAT100	FOMR103	DRA4Z02	DRA2018	Estetiske fag	Dramafag	Drama og samfunn	Drama og samfunn	406	382	358
3	FKAT100	FOMR103	DRA3Z03	DRA3Z03	Estetiske fag	Dramafag	Teater i perspektiv 1	Alle vurderingsfag	368	376	373
4	FKAT100	FOMR103	DRA3Z03	DRA2014	Estetiske fag	Dramafag	Teater i perspektiv 1	Teater i perspektiv 1	368	376	373
3	FKAT100	FOMR103	DRA3Z04	DRA3Z04	Estetiske fag	Dramafag	Teater i perspektiv 2	Alle vurderingsfag	383	354	358
4	FKAT100	FOMR103	DRA3Z04	DRA2016	Estetiske fag	Dramafag	Teater i perspektiv 2	Teater i perspektiv 2	383	354	358
3	FKAT100	FOMR103	DRA1Z03	DRA1Z03	Estetiske fag	Dramafag	Teater og bevegelse 1	Alle vurderingsfag	370	374	372
4	FKAT100	FOMR103	DRA1Z03	DRA2010	Estetiske fag	Dramafag	Teater og bevegelse 1	Teater og bevegelse 1	370	374	372
3	FKAT100	FOMR103	DRA1Z04	DRA1Z04	Estetiske fag	Dramafag	Teater og bevegelse 2	Alle vurderingsfag	384	354	355
4	FKAT100	FOMR103	DRA1Z04	DRA2011	Estetiske fag	Dramafag	Teater og bevegelse 2	Teater og bevegelse 2	384	354	355
3	FKAT100	FOMR103	MDD6Z02	MDD6Z02	Estetiske fag	Dramafag	Teaterensemble	Alle vurderingsfag	596	638	700
4	FKAT100	FOMR103	MDD6Z02	MDD3010	Estetiske fag	Dramafag	Teaterensemble	Teaterensemble	596	638	700
3	FKAT100	FOMR103	DRA2Z03	DRA2Z03	Estetiske fag	Dramafag	Teaterproduksjon 1	Alle vurderingsfag	399	430	420
4	FKAT100	FOMR103	DRA2Z03	DRA2012	Estetiske fag	Dramafag	Teaterproduksjon 1	Teaterproduksjon 1	399	430	420
3	FKAT100	FOMR103	DRA2Z04	DRA2Z04	Estetiske fag	Dramafag	Teaterproduksjon 2	Alle vurderingsfag	384	355	360
4	FKAT100	FOMR103	DRA2Z04	DRA2013	Estetiske fag	Dramafag	Teaterproduksjon 2	Teaterproduksjon 2	384	355	360
3	FKAT100	FOMR103	DRA5Z03	DRA5Z03	Estetiske fag	Dramafag	Teaterproduksjon fordypning 1	Alle vurderingsfag	374	391	404
4	FKAT100	FOMR103	DRA5Z03	DRA3003	Estetiske fag	Dramafag	Teaterproduksjon fordypning 1	Teaterproduksjon fordypning 1	374	391	404
3	FKAT100	FOMR103	DRA5Z02	DRA5Z02	Estetiske fag	Dramafag	Teaterproduksjon fordypning 2	Alle vurderingsfag	28	18	
4	FKAT100	FOMR103	DRA5Z02	DRA3002	Estetiske fag	Dramafag	Teaterproduksjon fordypning 2	Teaterproduksjon fordypning 2	28	18	
3	FKAT100	FOMR103	DRA5Z04	DRA5Z04	Estetiske fag	Dramafag	Teaterproduksjon fordypning 2	Alle vurderingsfag	281	290	301
4	FKAT100	FOMR103	DRA5Z04	DRA3004	Estetiske fag	Dramafag	Teaterproduksjon fordypning 2	Teaterproduksjon fordypning 2	281	290	301
2	FKAT100	FOMR104		FOMR104	Estetiske fag	Kunst- og håndverksfag	Alle opplæringsfag	Alle vurderingsfag	3822	3995	3894
3	FKAT100	FOMR104	KDA5Z02	KDA5Z02	Estetiske fag	Kunst- og håndverksfag	Arkitektur og samfunn	Alle vurderingsfag	142	134	240
4	FKAT100	FOMR104	KDA5Z02	KDA3009	Estetiske fag	Kunst- og håndverksfag	Arkitektur og samfunn	Arkitektur og samfunn	142	134	240
3	FKAT100	FOMR104	KDA2Z01	KDA2Z01	Estetiske fag	Kunst- og håndverksfag	Design og arkitektur 1	Alle vurderingsfag	1336	1289	1238
4	FKAT100	FOMR104	KDA2Z01	KDA2010	Estetiske fag	Kunst- og håndverksfag	Design og arkitektur 1	Design og arkitektur 1	1336	1289	1238
3	FKAT100	FOMR104	KDA2Z05	KDA2Z05	Estetiske fag	Kunst- og håndverksfag	Design og arkitektur 2	Alle vurderingsfag	978	1157	1096
4	FKAT100	FOMR104	KDA2Z05	KDA2011	Estetiske fag	Kunst- og håndverksfag	Design og arkitektur 2	Design og arkitektur 2	978	1157	1096
3	FKAT100	FOMR104	KDA2Z03	KDA2Z03	Estetiske fag	Kunst- og håndverksfag	Design og arkitektur 3	Design og arkitektur 3	22		
4	FKAT100	FOMR104	KDA2Z03	KDA2006	Estetiske fag	Kunst- og håndverksfag	Design og arkitektur 3	Design og arkitektur 3	22		
