t;y
0;0
0.0333556;0.01479835
0.0667108;0.03082252
0.1000558;0.06014768
0.1334108;0.086008614
0.2001108;0.14237675
0.2334668;0.17683835
0.2668108;0.21332725
0.3001668;0.25244225
0.3335108;0.29254485
0.3668668;0.33384145
0.4002218;0.37554835
0.4335668;0.42492135
0.4669218;0.47064635
0.5002778;0.51149285
0.5336218;0.55670725
0.5669778;0.60646215
0.6003218;0.65191395
0.6336778;0.69831095
0.6670338;0.74814565
0.7003778;0.79865575
0.7337338;0.84504435
0.7670778;0.89719635
1.0338888;1.27519415
1.1339448;1.43145315
1.2006448;1.55327915
1.2339998;1.59388815
1.2673558;1.67510515
1.3006998;1.70048615
1.3340558;1.74617015
1.3673998;1.82738715
1.4007558;1.85784415
1.4341108;1.89845315
1.4674558;1.96444215
1.5008108;2.01012615
1.5341558;2.06088715
1.5675108;2.09642015
1.6008668;2.17256115
1.6342108;2.20809315
1.6675668;2.26393015
1.7009108;2.30961515
1.7342668;2.35529915
1.7676218;2.40098415
1.8009668;2.46189715
1.8343218;2.51773415
1.8676778;2.57864715
1.9010218;2.62940815
1.9343778;2.69032115
1.9677218;2.74615715
2.0010778;2.79691815
2.0344338;2.86290715
2.0677778;2.90351615
2.1011338;2.97965715
2.1344778;3.02534215
2.1678338;3.08625515
2.2011888;3.14209115
2.2345338;3.19792815
2.2678888;3.25376515
2.3012338;3.31467815
