Tid;Høyde
0.0;4205.219
0.2;4205.137
0.4;4204.67
0.6;4203.689
0.8;4202.033
1.0;4199.591
1.2;4197.092
1.4;4194.562
1.6;4191.514
1.8;4187.888
2.0;4184.184
2.2;4180.144
2.4;4175.658
2.6;4171.288
2.8;4166.389
3.0;4161.057
3.2;4155.471
3.4;4149.56
3.6;4143.502
3.8;4137.111
4.0;4130.264
4.2;4123.049
4.4;4115.532
4.6;4107.745
4.8;4099.623
5.0;4091.08
5.2;4082.258
5.4;4073.088
5.6;4063.489
5.8;4053.599
6.0;4043.363
6.2;4032.849
6.4;4021.946
6.6;4010.71
6.8;3999.177
7.0;3987.422
7.2;3975.341
7.4;3962.851
7.6;3950.198
7.8;3937.267
8.0;3924.09
8.2;3910.568
8.4;3896.687
8.6;3882.445
8.8;3867.915
9.0;3853.128
9.2;3838.066
9.4;3822.806
9.6;3807.335
9.8;3791.474
10.0;3775.452
10.2;3759.172
10.4;3742.549
10.6;3725.713
10.8;3708.594
11.0;3691.178
11.2;3673.569
11.4;3655.814
11.6;3637.737
11.8;3619.282
12.0;3600.708
12.2;3581.971
12.4;3562.995
12.6;3543.801
12.8;3524.419
13.0;3504.913
13.2;3485.084
13.4;3465.147
13.6;3445.193
13.8;3424.721
14.0;3404.229
14.2;3383.525
14.4;3362.489
14.6;3341.28
14.8;3319.954
15.0;3298.473
15.2;3276.791
15.4;3254.952
15.6;3232.905
15.8;3210.641
16.0;3188.137
16.2;3165.574
16.4;3142.881
16.6;3120.009
16.8;3096.777
17.0;3073.442
17.2;3050.168
17.4;3026.848
17.6;3003.196
17.8;2979.356
18.0;2955.743
18.2;2932.021
18.4;2907.934
18.6;2883.719
18.8;2859.508
19.0;2835.239
19.2;2810.696
19.4;2786.398
19.6;2762.216
19.8;2737.763
20.0;2713.237
20.2;2688.857
20.4;2664.485
20.6;2639.961
20.8;2615.275
21.0;2590.755
21.2;2566.302
21.4;2541.584
21.6;2516.895
21.8;2492.067
22.0;2467.227
22.2;2442.324
22.4;2417.305
22.6;2392.735
22.8;2367.903
23.0;2343.191
23.2;2319.651
23.4;2296.36
23.6;2273.526
23.8;2250.474
24.0;2227.369
24.2;2204.619
24.4;2181.511
24.6;2158.417
24.8;2135.243
25.0;2112.165
25.2;2089.219
25.4;2066.005
25.6;2042.765
25.8;2019.573
26.0;1996.278
26.2;1972.849
26.4;1949.473
26.6;1925.976
26.8;1902.386
27.0;1878.932
27.2;1855.475
27.4;1831.879
27.6;1808.244
27.8;1784.538
28.0;1760.7689999999998
28.2;1736.869
28.4;1713.0120000000002
28.6;1688.933
28.8;1664.948
29.0;1642.189
29.2;1621.444
29.4;1601.44
29.6;1582.0159999999998
29.8;1563.9009999999998
30.0;1546.376
30.2;1529.135
30.4;1512.387
30.6;1496.121
30.8;1480.127
31.0;1464.479
31.2;1449.117
31.4;1433.942
31.6;1418.945
31.8;1404.296
32.0;1390.145
32.2;1376.171
32.4;1362.442
32.6;1348.936
32.8;1335.567
33.0;1322.708
33.2;1309.889
33.4;1296.868
33.6;1284.034
33.8;1271.64
34.0;1259.428
34.2;1247.4
34.4;1235.544
34.6;1223.709
34.8;1212.042
35.0;1200.527
35.2;1189.071
35.4;1177.995
35.6;1167.6509999999998
35.8;1157.81
36.0;1148.599
36.2;1139.623
36.4;1131.195
36.6;1123.232
36.8;1115.6699999999998
37.0;1108.483
37.2;1101.874
37.4;1095.781
37.6;1090.798
37.8;1086.304
38.0;1082.001
38.2;1077.9679999999998
38.4;1074.097
38.6;1070.367
38.8;1066.514
39.0;1062.832
39.2;1058.863
39.4;1054.489
39.6;1050.221
39.8;1045.915
40.0;1041.486
40.2;1037.132
40.4;1032.98
40.6;1029.133
40.8;1025.509
41.0;1022.065
41.2;1018.782
41.4;1015.599
41.6;1012.615
41.8;1010.068
42.0;1007.759
42.2;1005.819
42.4;1004.179
42.6;1002.765
42.8;1001.634
43.0;1000.601
43.2;999.807
43.4;999.14
43.6;998.525
43.8;998.117
44.0;997.774
44.2;997.366
44.4;996.914
44.6;996.4969999999998
44.8;996.097
45.0;995.8049999999998
45.2;995.4
45.4;994.946
45.6;994.473
45.8;993.979
46.0;993.45
46.2;992.786
46.4;992.076
46.6;991.281
46.8;990.489
47.0;989.615
47.2;988.803
47.4;987.877
47.6;986.829
47.8;985.533
48.0;984.419
48.2;983.455
48.4;982.514
48.6;981.572
48.8;980.59
49.0;979.57
49.2;978.57
49.4;977.644
49.6;976.783
49.8;975.867
50.0;974.9299999999998
50.2;973.952
50.4;973.011
50.6;972.158
50.8;971.327
51.0;970.479
51.2;969.793
51.4;969.092
51.6;968.412
51.8;967.802
52.0;967.323
52.2;966.665
52.4;965.918
52.6;965.217
52.8;964.512
53.0;963.794
53.2;963.109
53.4;962.415
53.6;961.72
53.8;960.972
54.0;960.231
54.2;959.459
54.4;958.685
54.6;957.895
54.8;957.069
55.0;956.2659999999998
55.2;955.431
55.4;954.612
55.6;953.893
55.8;953.139
56.0;952.357
56.2;951.504
56.4;950.621
56.6;949.85
56.8;949.182
57.0;948.4779999999998
57.2;947.775
57.4;947.098
57.6;946.454
57.8;945.859
58.0;945.234
58.2;944.638
58.4;944.048
58.6;943.521
58.8;943.048
59.0;942.527
59.2;942.062
59.4;941.573
59.6;941.066
59.8;940.525
60.0;940.035
60.2;939.548
60.4;939.004
60.6;938.448
60.8;937.919
61.0;937.348
61.2;936.694
61.4;936.064
61.6;935.426
61.8;934.768
62.0;934.077
62.2;933.444
62.4;932.797
62.6;932.057
62.8;931.303
63.0;930.539
63.2;929.809
63.4;929.051
63.6;928.292
63.8;927.452
64.0;926.586
64.2;925.696
64.4;924.879
64.6;924.091
64.8;923.346
65.0;922.58
65.2;921.822
65.4;920.883
65.6;919.883
65.8;919.23
66.0;918.57
66.2;917.837
66.4;917.337
66.6;916.612
66.8;915.985
67.0;915.26
67.2;914.528
67.4;913.846
67.6;913.088
67.8;912.1799999999998
68.0;911.384
68.2;910.663
68.4;910.047
68.6;909.433
68.8;908.629
69.0;907.804
69.2;906.991
69.4;906.213
69.6;905.423
69.8;904.638
70.0;903.869
70.2;903.118
70.4;902.229
70.6;901.422
70.8;900.5229999999999
71.0;899.654
71.2;898.78
71.4;897.894
71.6;896.972
71.8;896.0219999999999
72.0;894.9469999999999
72.2;893.903
72.4;892.8509999999999
72.6;891.808
72.8;890.7459999999999
73.0;889.663
73.2;888.6089999999999
73.4;887.6579999999999
