Tid;Temperatur
0;84
1;83
2;81
3;80
4;79
5;78
6;77
7;76
8;75
9;74
10;73
11;72
12;71
13;71
14;70
15;69
16;68
17;67
18;67
19;66
20;65
21;65
22;64
23;63
24;62
25;62
26;61
27;60
28;60
29;59
30;59
31;58
32;58
33;57
34;56
35;56
36;55
37;55
38;55
39;54
40;54
41;53
42;53
43;52
44;52
45;51
46;51
47;50
48;50
49;50
50;49
51;49
52;48
53;48
54;48
55;47
56;47
57;47
58;46
59;46
60;45
61;45
62;45
63;45
64;44
65;44
66;44
67;43
68;43
69;42
70;42
71;42
72;41
73;41
74;41
75;41
76;41
77;40
78;40
79;40
80;39
81;39
82;39
83;39
84;39
85;39
86;38
87;38
88;38
89;38
90;38
91;37
92;37
93;37
94;37
95;37
96;36
97;36
98;36
99;36
100;36
