Tid;Strekning
0.0;0.0
0.2;0.05400000000008731
0.4;0.12800000000015643
0.6;0.19000000000005457
0.8;0.23900000000003274
1.0;0.24099999999998545
1.2;-0.2689999999997781
1.4;-0.24499999999989086
1.6;0.3989999999998872
1.8;0.6849999999999454
2.0;1.5039999999999054
2.2;2.2280000000000655
2.4;3.6089999999999236
2.6;6.764000000000124
2.8;9.827999999999975
3.0;12.954000000000178
3.2;16.67099999999982
3.4;23.96199999999999
3.6;33.320000000000164
3.8;41.50799999999981
4.0;49.378999999999905
4.2;56.08800000000019
4.4;62.8090000000002
4.6;70.02799999999979
4.8;79.12699999999995
5.0;88.17799999999988
5.2;97.43600000000015
5.4;107.54500000000007
5.6;117.5920000000001
5.8;127.5
6.0;137.712
6.2;148.096
6.4;158.72400000000016
6.6;169.4920000000002
6.8;180.20200000000023
7.0;191.29700000000003
7.2;202.40599999999995
7.4;213.9119999999998
7.6;224.5590000000002
7.8;236.05999999999995
8.0;247.23000000000002
8.2;258.3449999999998
8.4;269.4029999999998
8.6;280.953
8.8;292.68899999999985
9.0;304.4630000000002
9.2;316.22800000000007
9.4;328.0160000000001
9.6;339.991
9.8;351.92999999999984
10.0;363.73799999999983
10.2;375.64699999999993
10.4;387.3760000000002
10.6;399.21799999999985
10.8;411.17300000000023
11.0;423.11900000000014
11.2;434.8710000000001
11.4;446.4670000000001
11.6;458.13599999999997
11.8;469.71500000000015
12.0;481.3029999999999
12.2;492.8330000000001
12.4;504.3589999999999
12.6;515.835
12.8;527.25
13.0;538.627
13.2;549.9200000000001
13.4;561.154
13.6;572.3009999999999
13.8;583.3670000000002
14.0;594.2269999999999
14.2;604.9769999999999
14.4;615.5709999999999
14.6;626.0619999999999
14.8;636.4659999999999
15.0;646.7269999999999
15.2;656.806
15.4;666.732
15.6;676.5030000000002
15.8;686.1260000000002
16.0;695.6100000000001
16.2;704.9189999999999
16.4;714.0810000000001
16.6;723.06
16.8;731.8780000000002
17.0;740.5279999999998
17.2;749.02
17.4;757.2660000000001
17.6;765.2020000000002
17.8;772.7660000000001
18.0;780.018
18.2;786.7449999999999
18.4;792.7690000000002
