order_id,day_id,missing_information,inserted_at,updated_at,order_items
05ysujyi025scak,102,False,2025-09-18 07:08:20.070Z,2025-09-18 07:32:41.904Z,"[{""order_item_id"":""dkyt6rs3vlu05bh"",""item_id"":""fpj4exydv7pnw8j"",""item_name"":""Karamell Frappe"",""customizations"":[{""customization_id"":""ep6pskv20dttvsx"",""key"":""Annet"",""value"":""Klippekort""},{""customization_id"":""35vu9c28nxmbecn"",""key"":""Kopp"",""value"":""Egen""}]}]"
06ykxue9gr38ost,0,False,2025-09-08 07:22:06.555Z,2025-09-15 10:12:01.712Z,"[{""order_item_id"":""f14s2omfqkcrewc"",""item_id"":""sgu9ochsi20u0q6"",""item_name"":""Latte"",""customizations"":[{""customization_id"":""3c4snk57yuwfrg9"",""key"":""Smak"",""value"":""Salt karamell""},{""customization_id"":""dllcf2e44hz7dna"",""key"":""Kopp"",""value"":""Liten""}]}]"
07dcb15auos5s3r,152,False,2025-09-15 09:47:38.301Z,2025-09-15 10:12:02.988Z,"[{""order_item_id"":""5401zr1d9yimqod"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[{""customization_id"":""g9wx548jje5jtrv"",""key"":""Melk"",""value"":""Hel""}]}]"
08fhf4oy9dp46pk,107,False,2025-09-15 08:13:36.456Z,2025-09-15 10:12:03.216Z,"[{""order_item_id"":""hqdkejj5q4g3ryx"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[]}]"
08kd257hv66lruk,115,False,2025-09-22 08:25:40.306Z,2025-09-22 08:31:54.440Z,"[{""order_item_id"":""60z3wdtmi8ui68u"",""item_id"":""sgu9ochsi20u0q6"",""item_name"":""Latte"",""customizations"":[{""customization_id"":""lie4jw1ik447ilt"",""key"":""Ekstra"",""value"":""Espresso""}]}]"
08qa0kh0fzt3xgr,0,False,2025-09-10 08:29:42.393Z,2025-09-15 10:12:03.416Z,"[{""order_item_id"":""9ciwzju0g5tt5ts"",""item_id"":""fpj4exydv7pnw8j"",""item_name"":""Karamell Frappe"",""customizations"":[]},{""order_item_id"":""kt38xw3r09yyf8b"",""item_id"":""fpj4exydv7pnw8j"",""item_name"":""Karamell Frappe"",""customizations"":[]}]"
0ahcnax62kbc3zb,106,False,2025-09-23 08:06:31.891Z,2025-09-23 08:10:51.572Z,"[{""order_item_id"":""66l812aivcn7y05"",""item_id"":""fpj4exydv7pnw8j"",""item_name"":""Karamell Frappe"",""customizations"":[{""customization_id"":""3zfyyunpd8od3pm"",""key"":""Kopp"",""value"":""Egen""}]}]"
0flrm6x0rsa93z9,216,False,2025-09-16 10:03:23.082Z,2025-09-16 10:09:09.191Z,"[{""order_item_id"":""48vmpshwu4m7wwj"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[{""customization_id"":""xw9ge5na6kzb3fm"",""key"":""Melk"",""value"":""Havre""}]}]"
0g4c8we99jjzu35,130,False,2025-09-25 09:43:25.420Z,2025-09-25 09:58:54.973Z,"[{""order_item_id"":""hwsv489gaaolrg0"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[]}]"
0m0k6jgc70903d8,113,False,2025-09-15 08:22:57.241Z,2025-09-15 10:12:02.621Z,"[{""order_item_id"":""3fm2ycsas9gnahd"",""item_id"":""nt3ioawktdf5t4e"",""item_name"":""Mocca"",""customizations"":[{""customization_id"":""yrbn2po19wei6y5"",""key"":""Kopp"",""value"":""Egen""}]}]"
