Temperature(C);Humidity(%)
22.40;18.10
22.50;18.20
22.50;18.20
22.50;18.30
22.50;20.70
22.50;30.30
22.60;39.10
22.60;46.70
22.70;53.20
22.70;58.90
22.90;64.10
22.90;68.30
23.00;71.70
23.00;74.00
23.20;75.70
23.30;77.40
23.50;78.70
23.50;80.00
23.70;81.80
23.70;82.60
23.80;83.40
24.00;83.90
24.20;84.50
24.30;85.30
24.40;85.70
24.60;85.90
24.70;86.30
24.90;86.60
25.00;86.80
25.10;87.10
25.20;87.40
25.30;87.40
25.50;87.60
25.60;87.80
25.80;87.90
25.70;87.90
25.90;87.50
25.80;87.00
25.90;86.60
26.00;85.50
26.00;83.50
25.90;81.50
26.00;78.30
26.00;74.50
26.10;68.90
26.10;62.20
26.10;55.60
26.00;50.10
26.10;45.00
26.10;40.50
26.10;37.30
26.20;34.40
26.20;31.90
26.20;30.20
26.20;28.60
26.20;27.30
26.20;26.10
26.30;25.10
26.20;24.30
26.30;23.60
26.30;22.90
26.30;22.30
26.30;21.90
26.30;21.30
26.30;21.00
26.30;20.70
26.40;20.50
26.40;20.10
26.40;20.00
26.40;19.80
26.40;19.70
26.40;19.40
26.40;19.50
26.40;19.30
26.40;19.20
26.30;18.90
26.50;19.00
26.40;18.80
26.40;18.70
26.30;18.60
26.40;18.60
26.50;18.40
26.40;18.20
26.30;18.00
26.30;18.00
26.30;17.80
26.40;17.70
26.30;17.50
26.30;17.40
26.30;17.50
26.30;17.50
26.30;17.30
26.30;17.30
26.30;17.30
26.20;17.30
26.20;17.30
26.20;17.30
26.20;17.20
26.30;17.30
26.20;17.30
26.10;17.20
26.20;17.10
26.20;17.10
26.20;17.30
26.20;17.20
26.10;17.20
26.10;17.40
26.20;17.20
26.20;17.20
26.10;17.10
26.10;17.10
26.10;17.00
26.10;17.00
26.10;16.80
26.00;16.90
26.00;17.00
26.00;16.80
26.00;17.00
25.90;16.90
25.90;16.90
25.90;16.90
25.90;16.80
25.80;16.80
26.00;16.60
25.90;16.80
25.90;16.80
25.80;16.80
25.80;16.80
25.90;16.70
25.80;16.80
25.80;16.70
25.70;16.70
25.70;16.50
25.70;16.70
25.70;16.50
25.70;16.50
25.60;16.30
25.70;16.50
25.60;16.60
25.60;16.30
25.60;16.20
25.50;16.10
25.50;16.20
25.60;16.40
25.50;16.30
25.50;16.20
25.50;16.30
25.50;16.50
25.40;16.40
25.40;16.30
25.40;16.40
25.40;16.40
25.30;16.50
25.40;16.40
25.40;16.40
25.40;16.60
25.30;16.50
25.40;16.50
25.30;16.40
25.20;16.50
25.20;16.50
25.20;16.40
25.20;16.30
25.20;16.40
25.20;16.40
25.10;16.30
25.10;16.40
25.10;16.50
25.10;16.60
25.10;16.60
25.10;16.40
25.10;16.60
25.00;16.50
25.10;16.30
25.00;16.60
25.00;16.50
25.00;16.60
25.00;16.60
24.90;16.60
24.90;16.60
24.90;16.60
24.90;16.70
24.90;16.60
24.80;16.60
24.80;16.60
24.80;16.70
24.80;16.90
24.80;16.80
24.80;16.80
24.70;16.70
24.70;16.80
24.60;16.70
24.60;16.60
24.70;16.70
24.60;16.70
24.60;16.80
24.60;16.70
24.60;16.80
24.60;16.60
24.60;16.70
24.60;16.60
24.60;16.70
24.50;16.80
24.50;16.60
24.50;16.60
24.50;16.70
24.50;16.80
24.50;16.70
24.50;16.70
24.40;16.70
24.40;16.70
24.40;16.70
24.30;16.90
24.40;16.80
24.30;16.90
24.40;16.90
24.30;16.90
24.40;16.90
24.40;17.00
24.40;16.80
24.30;16.90
24.30;16.80
24.30;16.80
24.20;16.80
24.30;16.80
24.30;16.90
24.20;16.80
24.20;17.00
24.30;17.20
24.20;17.20
24.10;17.40
24.20;17.50
24.20;17.60
24.10;17.60
24.10;17.70
24.20;17.70
24.20;17.70
24.10;17.70
24.10;17.70
24.00;17.70
24.10;17.60
24.00;17.60
24.00;17.50
24.10;17.50
24.00;17.60
24.00;17.40
24.00;17.40
24.00;17.50
23.90;17.30
23.90;17.40
23.90;17.40
23.90;17.40
24.00;17.40
23.90;17.30
23.90;17.30
24.00;17.30
23.90;17.40
23.90;17.60
23.90;17.50
23.90;17.60
23.90;17.40
23.90;17.60
23.90;17.60
23.70;17.60
23.80;17.50
23.80;17.50
23.80;17.60
23.80;17.50
23.80;17.50
23.80;17.40
23.80;17.40
23.80;17.40
23.80;17.50
23.70;17.40
23.60;17.30
23.70;17.30
23.70;17.40
